time,type,asset,quantity,gas,chain,id,katanaTxId,katanaTxStatus,vaultName,vaultManagerAddress
2026-04-07T20:04:28.007Z,deposit,USDC,2.00000000,,katana.katana,fb827f70-32bc-11f1-a3ad-2b06aa2ac435,0x764b72658ed38f769e57f9fb75b7c91009230508c99be3b2cd734893cc3edb4d,,,
2026-04-09T23:41:38.012Z,deposit,USDC,1.08386800,,katana.referralReward,a6d2d2b0-346d-11f1-a3ad-2b06aa2ac435,0xd9fdced81a5e7b18a970e44938f5da8e149cfd12dfd7915cdeff87dbee5b39ef,,,
2026-04-27T14:50:22.028Z,deposit,USDC,1.00000000,,katana.katana,6ab102a0-4248-11f1-b08f-bf8ba3a3bef8,0xb0bb632544d5c3c69017822313f7895c8c44d8eeef438e4c471894d718edcd43,,,
2026-04-30T21:39:22.667Z,withdrawal,USDC,2.00000000,1.71584089,stargate.ethereum,0d498820-44dd-11f1-9826-3bd628e70d3a,0xcef88676dc784cff04e1d3c7c39354cb1b1c0040f7556440e2d6b937cda18ea0,mined,,
2026-05-01T20:50:28.033Z,deposit,USDC,5.00000000,,katana.katana,6286bcf0-459f-11f1-8b4a-b1c3612c31d5,0x2e1bd5f847e0320f6064bf8fead74e64b12ef577cb6948bbb6a336ba32a1f052,,,
2026-05-03T18:24:38.015Z,deposit,USDC,0.99979900,,stargate.arbitrum,57ef72d0-471d-11f1-b24f-3f9a4a46e385,0xc1e092aa672615f353d2267c8f4adb9ba1703b678f65d1adc578b72c83429f55,,,
2026-05-11T16:23:54.013Z,deposit,USDC,1.19585400,,katana.referralReward,cd7ac4d0-4d55-11f1-8f51-67d21e42f864,0x50ebc014e227787e57f51eced2c8dfa420a0280c4f216e148ff1405a08448e5a,,,
2026-05-13T11:15:04.071Z,deposit,USDC,4.99899900,,stargate.arbitrum,fd998170-4ebc-11f1-8deb-47787d4c5bd8,0x82ffca319012a49b9e7307ee696fb7bfaba447f4c3ecfc09728d1b865d9bd160,,,
2026-05-13T11:18:28.010Z,deposit,USDC,1.00000000,,katana.katana,7727f990-4ebd-11f1-8deb-47787d4c5bd8,0xc9ce241db7198f635f93886bdd071f3507fac303f179c55d6ad5f512d3e4afe7,,,
2026-05-13T11:18:35.709Z,withdrawal,USDC,1.00000000,0.05000000,katana.katana,7bbd8740-4ebd-11f1-bd4f-cf4b0cd778b2,0x06361d96652c004e18f5b210b2f2eb62772d69191faa493e47c625c20a411746,mined,,
2026-05-14T16:50:16.020Z,deposit,USDC,1.00000000,,katana.katana,fbaafa30-4fb4-11f1-8deb-47787d4c5bd8,0x5dfd6c27dc8717f3ec490a8a5da99272ed80e4cec67e2a788cda6766b03b805e,,,
2026-05-20T13:52:40.010Z,deposit,USDC,0.10000000,,katana.katana,2aab8aa0-5453-11f1-b72f-ebdc68936277,0x2d2c05560d29c9efeb45a97ebbc1ffba06414abe064cb67ba902d730186e7d8c,,,
2026-05-20T16:34:22.008Z,deposit,USDC,1.99979700,,stargate.arbitrum,c182cc70-5469-11f1-b72f-ebdc68936277,0x8cdefd220347ab30fab4a5b5af6b86dc0f1b605c2d407aa6a68a770cdff435f0,,,
